Category, Minimun, Min Count, Maximum, Max Count, Average
Node Records, room node 44 : 0 agents, 154 nodes, smart agent 38 : 31 agents, 1 nodes, 2.27 agents
Node Visits, smart agent 11 : 0 nodes, 1 agents, exit 1 : 16 nodes, 1 agents, 2.95 nodes
Door Records, door 109 : 0 agents, 109 doors, smart agent 38 : 31 agents, 1 doors, 2.93 agents
Door Visits, smart agent 11 : 0 doors, 1 agents, exit 1 : 16 doors, 1 agents, 2.95 doors
Exit Records, exit 5 : 0 agents, 5 exits, smart agent 38 : 31 agents, 1 exits, 9.02 agents
Exit Time, 0.00 seconds, 45, 40.88 seconds, 2, 6.81 seconds
