Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
door 81, smart agent 1, 49.05, 12.40, 1.32
door 38, smart agent 1, 58.05, 15.40, 4.34
door 38, smart agent 1, 58.05, 15.40, 4.92
door 85, smart agent 1, 58.05, 15.52, 5.28
door 85, smart agent 1, 58.05, 15.52, 6.20
door 38, smart agent 1, 58.05, 15.40, 6.66
door 38, smart agent 1, 58.05, 15.40, 7.24
door 38, smart agent 1, 58.05, 15.40, 7.66
door 38, smart agent 1, 58.05, 15.40, 7.90
door 85, smart agent 1, 58.05, 15.52, 8.62
door 85, smart agent 1, 58.05, 15.52, 9.20
door 38, smart agent 1, 58.05, 15.40, 9.54
door 36, smart agent 1, 64.05, 15.40, 11.30
door 36, smart agent 1, 64.05, 15.40, 11.92
door 84, smart agent 1, 64.05, 15.52, 12.26
door 84, smart agent 1, 64.05, 15.52, 13.14
door 36, smart agent 1, 64.05, 15.40, 13.64
door 36, smart agent 1, 64.05, 15.40, 13.96
door 36, smart agent 1, 64.05, 15.40, 14.34
door 36, smart agent 1, 64.05, 15.40, 14.66
door 84, smart agent 1, 64.05, 15.52, 15.32
door 84, smart agent 1, 64.05, 15.52, 16.16
door 36, smart agent 1, 64.05, 15.40, 16.64
door 36, smart agent 1, 64.05, 15.40, 16.96
door 36, smart agent 1, 64.05, 15.40, 17.34
door 36, smart agent 1, 64.05, 15.40, 17.66
door 84, smart agent 1, 64.05, 15.52, 18.34
door 84, smart agent 1, 64.05, 15.52, 19.02
door 36, smart agent 1, 64.05, 15.40, 19.62
door 36, smart agent 1, 64.05, 15.40, 20.00
door 36, smart agent 1, 64.05, 15.40, 20.44
door 36, smart agent 1, 64.05, 15.40, 20.78
door 84, smart agent 1, 64.05, 15.52, 21.12
door 84, smart agent 1, 64.05, 15.52, 21.78
door 84, smart agent 1, 64.05, 15.52, 22.20
door 36, smart agent 1, 64.05, 15.40, 22.58
door 36, smart agent 1, 64.05, 15.40, 23.04
door 36, smart agent 1, 64.05, 15.40, 23.36
door 36, smart agent 1, 64.05, 15.40, 23.70
door 84, smart agent 1, 64.05, 15.52, 24.38
door 84, smart agent 1, 64.05, 15.52, 24.94
door 84, smart agent 1, 64.05, 15.52, 25.28
door 36, smart agent 1, 64.05, 15.40, 25.94
door 36, smart agent 1, 64.05, 15.40, 26.32
door 36, smart agent 1, 64.05, 15.40, 26.66
door 36, smart agent 1, 64.05, 15.40, 26.94
door 36, smart agent 1, 64.05, 15.40, 27.28
door 36, smart agent 1, 64.05, 15.40, 27.56
door 84, smart agent 1, 64.05, 15.52, 28.26
door 84, smart agent 1, 64.05, 15.52, 28.84
door 36, smart agent 1, 64.05, 15.40, 29.18
door 36, smart agent 1, 64.05, 15.40, 29.62
door 36, smart agent 1, 64.05, 15.40, 29.92
door 36, smart agent 1, 64.05, 15.40, 30.26
door 36, smart agent 1, 64.05, 15.40, 30.56
door 84, smart agent 1, 64.05, 15.52, 31.26
door 84, smart agent 1, 64.05, 15.52, 31.84
door 36, smart agent 1, 64.05, 15.40, 32.18
door 36, smart agent 1, 64.05, 15.40, 32.62
door 36, smart agent 1, 64.05, 15.40, 32.90
door 36, smart agent 1, 64.05, 15.40, 33.22
door 36, smart agent 1, 64.05, 15.40, 33.50
door 84, smart agent 1, 64.05, 15.52, 34.18
door 84, smart agent 1, 64.05, 15.52, 34.80
door 36, smart agent 1, 64.05, 15.40, 35.24
door 36, smart agent 1, 64.05, 15.40, 35.64
door 36, smart agent 1, 64.05, 15.40, 35.92
door 36, smart agent 1, 64.05, 15.40, 36.24
door 36, smart agent 1, 64.05, 15.40, 36.52
door 84, smart agent 1, 64.05, 15.52, 37.20
door 84, smart agent 1, 64.05, 15.52, 37.78
door 36, smart agent 1, 64.05, 15.40, 38.14
door 36, smart agent 1, 64.05, 15.40, 38.46
door 36, smart agent 1, 64.05, 15.40, 38.80
door 36, smart agent 1, 64.05, 15.40, 39.10
door 84, smart agent 1, 64.05, 15.52, 39.76
door 84, smart agent 1, 64.05, 15.52, 40.62
door 36, smart agent 1, 64.05, 15.40, 41.08
door 36, smart agent 1, 64.05, 15.40, 41.42
door 36, smart agent 1, 64.05, 15.40, 41.80
door 36, smart agent 1, 64.05, 15.40, 42.10
door 84, smart agent 1, 64.05, 15.52, 42.94
door 84, smart agent 1, 64.05, 15.52, 43.32
door 84, smart agent 1, 64.05, 15.52, 43.76
door 84, smart agent 1, 64.05, 15.52, 44.22
door 36, smart agent 1, 64.05, 15.40, 44.82
door 36, smart agent 1, 64.05, 15.40, 45.20
door 36, smart agent 1, 64.05, 15.40, 45.56
door 36, smart agent 1, 64.05, 15.40, 45.84
door 36, smart agent 1, 64.05, 15.40, 46.18
door 36, smart agent 1, 64.05, 15.40, 46.48
door 84, smart agent 1, 64.05, 15.52, 47.18
door 84, smart agent 1, 64.05, 15.52, 47.70
door 36, smart agent 1, 64.05, 15.40, 48.02
door 36, smart agent 1, 64.05, 15.40, 48.34
door 36, smart agent 1, 64.05, 15.40, 48.68
door 36, smart agent 1, 64.05, 15.40, 48.98
door 84, smart agent 1, 64.05, 15.52, 49.62
door 84, smart agent 1, 64.05, 15.52, 50.24
door 84, smart agent 1, 64.05, 15.52, 50.72
door 36, smart agent 1, 64.05, 15.40, 51.38
door 36, smart agent 1, 64.05, 15.40, 51.82
door 36, smart agent 1, 64.05, 15.40, 52.12
door 84, smart agent 1, 64.05, 15.52, 52.48
door 84, smart agent 1, 64.05, 15.52, 53.12
door 84, smart agent 1, 64.05, 15.52, 53.58
door 36, smart agent 1, 64.05, 15.40, 54.16
door 36, smart agent 1, 64.05, 15.40, 54.54
door 36, smart agent 1, 64.05, 15.40, 54.88
door 36, smart agent 1, 64.05, 15.40, 55.14
door 84, smart agent 1, 64.05, 15.52, 55.52
door 84, smart agent 1, 64.05, 15.52, 56.24
door 84, smart agent 1, 64.05, 15.52, 56.70
door 36, smart agent 1, 64.05, 15.40, 57.36
door 36, smart agent 1, 64.05, 15.40, 57.80
door 36, smart agent 1, 64.05, 15.40, 58.12
door 84, smart agent 1, 64.05, 15.52, 58.52
door 84, smart agent 1, 64.05, 15.52, 59.24
door 84, smart agent 1, 64.05, 15.52, 59.76
door 36, smart agent 1, 64.05, 15.40, 60.48
door 36, smart agent 1, 64.05, 15.40, 60.80
door 36, smart agent 1, 64.05, 15.40, 61.14
door 36, smart agent 1, 64.05, 15.40, 61.44
door 36, smart agent 1, 64.05, 15.40, 61.78
door 36, smart agent 1, 64.05, 15.40, 62.12
door 84, smart agent 1, 64.05, 15.52, 62.78
door 84, smart agent 1, 64.05, 15.52, 63.46
door 36, smart agent 1, 64.05, 15.40, 64.06
door 36, smart agent 1, 64.05, 15.40, 64.44
door 36, smart agent 1, 64.05, 15.40, 64.78
door 36, smart agent 1, 64.05, 15.40, 65.08
door 84, smart agent 1, 64.05, 15.52, 65.74
door 84, smart agent 1, 64.05, 15.52, 66.58
door 36, smart agent 1, 64.05, 15.40, 67.04
door 36, smart agent 1, 64.05, 15.40, 67.36
door 36, smart agent 1, 64.05, 15.40, 67.72
door 36, smart agent 1, 64.05, 15.40, 68.04
door 36, smart agent 1, 64.05, 15.40, 68.28
door 84, smart agent 1, 64.05, 15.52, 68.68
door 84, smart agent 1, 64.05, 15.52, 69.64
door 36, smart agent 1, 64.05, 15.40, 70.14
door 36, smart agent 1, 64.05, 15.40, 70.44
door 36, smart agent 1, 64.05, 15.40, 70.80
door 36, smart agent 1, 64.05, 15.40, 71.08
door 36, smart agent 1, 64.05, 15.40, 71.30
door 84, smart agent 1, 64.05, 15.52, 71.80
door 84, smart agent 1, 64.05, 15.52, 72.44
door 36, smart agent 1, 64.05, 15.40, 72.96
door 36, smart agent 1, 64.05, 15.40, 73.36
door 36, smart agent 1, 64.05, 15.40, 73.84
door 36, smart agent 1, 64.05, 15.40, 74.18
door 84, smart agent 1, 64.05, 15.52, 74.86
door 84, smart agent 1, 64.05, 15.52, 75.44
door 36, smart agent 1, 64.05, 15.40, 75.82
door 36, smart agent 1, 64.05, 15.40, 76.26
door 36, smart agent 1, 64.05, 15.40, 76.54
door 36, smart agent 1, 64.05, 15.40, 76.88
door 36, smart agent 1, 64.05, 15.40, 77.18
door 84, smart agent 1, 64.05, 15.52, 77.88
door 84, smart agent 1, 64.05, 15.52, 78.40
door 84, smart agent 1, 64.05, 15.52, 78.76
door 36, smart agent 1, 64.05, 15.40, 79.42
door 36, smart agent 1, 64.05, 15.40, 79.80
door 36, smart agent 1, 64.05, 15.40, 80.14
door 36, smart agent 1, 64.05, 15.40, 80.42
door 36, smart agent 1, 64.05, 15.40, 80.76
door 36, smart agent 1, 64.05, 15.40, 81.06
door 84, smart agent 1, 64.05, 15.52, 81.78
door 84, smart agent 1, 64.05, 15.52, 82.36
door 36, smart agent 1, 64.05, 15.40, 82.70
door 36, smart agent 1, 64.05, 15.40, 83.16
door 36, smart agent 1, 64.05, 15.40, 83.44
door 36, smart agent 1, 64.05, 15.40, 83.76
door 36, smart agent 1, 64.05, 15.40, 84.04
door 84, smart agent 1, 64.05, 15.52, 84.72
door 84, smart agent 1, 64.05, 15.52, 85.30
door 36, smart agent 1, 64.05, 15.40, 85.66
door 36, smart agent 1, 64.05, 15.40, 85.98
door 36, smart agent 1, 64.05, 15.40, 86.32
door 36, smart agent 1, 64.05, 15.40, 86.64
door 84, smart agent 1, 64.05, 15.52, 87.28
door 84, smart agent 1, 64.05, 15.52, 88.12
door 36, smart agent 1, 64.05, 15.40, 88.58
door 36, smart agent 1, 64.05, 15.40, 88.90
door 36, smart agent 1, 64.05, 15.40, 89.24
door 36, smart agent 1, 64.05, 15.40, 89.58
door 36, smart agent 1, 64.05, 15.40, 89.84
door 84, smart agent 1, 64.05, 15.52, 90.20
door 84, smart agent 1, 64.05, 15.52, 91.02
