Agent Name, Door Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D(Clone), door 97, -52.93-X, 15.52-Z, 37.76 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 37.82 seconds
SmartAgent3D(Clone), door 25, -15.35-X, -10.04-Z, 37.84 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 37.88 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 38.18 seconds
SmartAgent3D(Clone), door 84, 31.05-X, 12.4-Z, 38.22 seconds
SmartAgent3D(Clone), door 4, 25.05-X, 12.4-Z, 38.44 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 38.5 seconds
SmartAgent3D(Clone), door 46, 25.05-X, 15.4-Z, 38.82 seconds
SmartAgent3D(Clone), door 16, -52.93-X, 12.4-Z, 38.88 seconds
SmartAgent3D(Clone), door 38, 58.05-X, 15.4-Z, 38.94 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 38.96 seconds
SmartAgent3D(Clone), door 36, 64.05-X, 15.4-Z, 39.1 seconds
SmartAgent3D(Clone), door 16, -52.93-X, 12.4-Z, 39.22 seconds
SmartAgent3D(Clone), door 46, 25.05-X, 15.4-Z, 39.42 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 39.42 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 39.42 seconds
SmartAgent3D(Clone), door 38, 58.05-X, 15.4-Z, 39.46 seconds
SmartAgent3D(Clone), door 4, 25.05-X, 12.4-Z, 39.54 seconds
SmartAgent3D(Clone), door 30, -15.35-X, -7.04-Z, 39.66 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 39.74 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 39.8 seconds
SmartAgent3D(Clone), door 4, 25.05-X, 12.4-Z, 39.8 seconds
SmartAgent3D(Clone), door 52, -52.93-X, 12.52-Z, 39.92 seconds
SmartAgent3D(Clone), door 52, -52.93-X, 12.52-Z, 40.12 seconds
SmartAgent3D(Clone), door 37, 64.05-X, 12.52-Z, 40.12 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 40.12 seconds
SmartAgent3D(Clone), door 47, 25.05-X, 12.52-Z, 40.3 seconds
SmartAgent3D(Clone), door 46, 25.05-X, 15.4-Z, 40.34 seconds
SmartAgent3D(Clone), door 90, 25.05-X, 15.52-Z, 40.4 seconds
SmartAgent3D(Clone), door 23, -15.47-X, -7.04-Z, 40.4 seconds
SmartAgent3D(Clone), door 85, 64.05-X, 15.52-Z, 40.44 seconds
SmartAgent3D(Clone), door 86, 58.05-X, 15.52-Z, 40.56 seconds
