Agent Name, Exit Name, Position-X, Position-Z, Exit Time (Seconds)
SmartAgent3D(Clone), exit 3, -20.44-X, 1.45-Z, 4.58 seconds
SmartAgent3D(Clone), exit 1, 20.44-X, 1.45-Z, 4.6 seconds
SmartAgent3D(Clone), exit 2, 20.44-X, 3.2-Z, 4.62 seconds
SmartAgent3D(Clone), exit 4, -20.44-X, 3.2-Z, 4.68 seconds
SmartAgent3D(Clone), exit 1, 20.44-X, 1.45-Z, 4.9 seconds
SmartAgent3D(Clone), exit 2, 20.44-X, 3.2-Z, 4.94 seconds
SmartAgent3D(Clone), exit 4, -20.44-X, 3.2-Z, 7.18 seconds
SmartAgent3D(Clone), exit 3, -20.44-X, 1.45-Z, 7.24 seconds
SmartAgent3D(Clone), exit 3, -20.44-X, 1.45-Z, 7.4 seconds
