Agent Name, Node Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D (11), node room, -7-X, 8.33-Z, 0 seconds
SmartAgent3D (8), node module, -4-X, 2.33-Z, 2.22 seconds
SmartAgent3D (9), node module, -13-X, 2.33-Z, 2.28 seconds
SmartAgent3D (4), node module, 13-X, 2.33-Z, 2.3 seconds
SmartAgent3D (6), node module, 4-X, 2.33-Z, 2.42 seconds
SmartAgent3D (3), node module, 13-X, 2.33-Z, 2.82 seconds
SmartAgent3D (10), node module, -13-X, 2.33-Z, 2.92 seconds
SmartAgent3D (8), node module, -7-X, 2.33-Z, 3.14 seconds
SmartAgent3D (9), node module, -16-X, 2.33-Z, 3.24 seconds
SmartAgent3D (2), node module, 13-X, 2.33-Z, 3.64 seconds
SmartAgent3D (0), node module, -4-X, 2.33-Z, 3.82 seconds
SmartAgent3D (3), node module, 16-X, 2.33-Z, 3.86 seconds
SmartAgent3D (8), node module, -10-X, 2.33-Z, 4 seconds
SmartAgent3D (0), node module, -7-X, 2.33-Z, 4.68 seconds
SmartAgent3D (8), node module, -13-X, 2.33-Z, 4.88 seconds
SmartAgent3D (0), node module, -10-X, 2.33-Z, 5.56 seconds
SmartAgent3D (8), node module, -16-X, 2.33-Z, 5.78 seconds
