Agent Name, Door Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D (7), door (1), 0.19-X, 0.2-Z, 1.04 seconds
SmartAgent3D (6), door rotated, 0.87-X, 3.89-Z, 1.12 seconds
SmartAgent3D (0), door rotated (1), -0.38-X, 7.2-Z, 1.16 seconds
SmartAgent3D (0), door rotated, -0.38-X, 7.07-Z, 1.18 seconds
SmartAgent3D (0), door rotated, -0.38-X, 7.07-Z, 1.22 seconds
SmartAgent3D (1), door rotated, -0.5-X, -2.61-Z, 1.48 seconds
SmartAgent3D (4), door rotated, 13-X, 3.89-Z, 1.66 seconds
SmartAgent3D (5), door, 10-X, 3.89-Z, 1.68 seconds
SmartAgent3D (9), door rotated, -13-X, 0.77-Z, 1.82 seconds
SmartAgent3D (8), door rotated, -4-X, 0.77-Z, 1.82 seconds
SmartAgent3D (11), door, -4-X, 3.89-Z, 1.92 seconds
SmartAgent3D (1), door rotated (1), -0.5-X, -2.48-Z, 2.28 seconds
SmartAgent3D (10), door, -13-X, 3.89-Z, 2.38 seconds
SmartAgent3D (3), door, 13-X, 0.77-Z, 2.6 seconds
SmartAgent3D (2), door rotated, 10-X, 0.77-Z, 2.64 seconds
SmartAgent3D (1), door, 0.06-X, 0.2-Z, 3.62 seconds
