Category, Minimun, Min Count, Maximum, Max Count, Average
Node Records, room node 44 : 0 agents, 154 nodes, smart agent 15 : 37 agents, 1 nodes, 2.01 agents
Node Visits, smart agent 11 : 0 nodes, 1 agents, door 33 : 21 nodes, 1 agents, 2.63 nodes
Door Records, door 109 : 0 agents, 109 doors, smart agent 15 : 37 agents, 1 doors, 2.59 agents
Door Visits, smart agent 11 : 0 doors, 1 agents, door 33 : 21 doors, 1 agents, 2.63 doors
Exit Records, exit 5 : 0 agents, 5 exits, smart agent 15 : 37 agents, 1 exits, 7.98 agents
Exit Time, 0.00 seconds, 45, 43.16 seconds, 2, 8.66 seconds
