Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
door 91, smart agent 28, -3.49, 19.96, 36.42
door 5, smart agent 4, -70.91, 15.52, 36.42
door 36, smart agent 11, 64.05, 15.40, 36.44
door 84, smart agent 3, 64.05, 15.52, 36.46
room node 11, smart agent 38, -28.91, -23.54, 36.48
door 96, smart agent 36, -52.93, 15.52, 36.52
door 1, smart agent 1, -3.37, 19.96, 36.54
door 94, smart agent 34, -34.93, 15.52, 36.54
door 93, smart agent 31, -25.93, 15.52, 36.58
door 85, smart agent 13, 58.05, 15.52, 36.64
door 38, smart agent 10, 58.05, 15.40, 36.68
door 95, smart agent 37, -43.93, 15.52, 36.68
door 50, smart agent 35, -52.93, 15.40, 36.68
door 36, smart agent 12, 64.05, 15.40, 36.68
door 84, smart agent 12, 64.05, 15.52, 36.70
door 67, smart agent 33, -34.93, 15.40, 36.72
door 68, smart agent 30, -25.93, 15.40, 36.74
door 4, smart agent 41, 25.05, 12.40, 36.76
door 5, smart agent 4, -70.91, 15.52, 36.78
door 38, smart agent 43, 58.05, 15.40, 36.88
door 84, smart agent 11, 64.05, 15.52, 36.88
door 93, smart agent 31, -25.93, 15.52, 36.92
door 94, smart agent 34, -34.93, 15.52, 36.96
door 50, smart agent 36, -52.93, 15.40, 37.02
door 36, smart agent 16, 64.05, 15.40, 37.02
door 67, smart agent 39, -34.93, 15.40, 37.10
door 1, smart agent 28, -3.37, 19.96, 37.14
door 91, smart agent 1, -3.49, 19.96, 37.16
door 50, smart agent 35, -52.93, 15.40, 37.16
door 5, smart agent 4, -70.91, 15.52, 37.18
door 36, smart agent 15, 64.05, 15.40, 37.24
door 84, smart agent 3, 64.05, 15.52, 37.24
door 84, smart agent 15, 64.05, 15.52, 37.26
door 36, smart agent 20, 64.05, 15.40, 37.26
door 68, smart agent 30, -25.93, 15.40, 37.28
door 67, smart agent 33, -34.93, 15.40, 37.28
door 85, smart agent 43, 58.05, 15.52, 37.30
door 38, smart agent 10, 58.05, 15.40, 37.36
door 93, smart agent 31, -25.93, 15.52, 37.36
door 95, smart agent 37, -43.93, 15.52, 37.38
