Object Name, Agent Name, Agent Weight, Position-X, Position-Z, Time (Seconds)
exit 8, smart agent 4, 1, 48.48, 1.01, 9.10
door 50, smart agent 15, 1, 20.98, -7.38, 9.16
module node 4, smart agent 38, 1, 38.11, -11.23, 9.24
intersection node 2, smart agent 24, 1, -17.29, -10.63, 10.22
door 48, smart agent 14, 1, 19.19, -8.04, 10.36
door 49, smart agent 15, 1, 22.77, -8.04, 10.62
intersection node 2, smart agent 1, 1, -17.29, -10.63, 10.74
door 64, smart agent 38, 1, 40.48, -9.48, 11.34
exit 1, smart agent 32, 1, -47.98, 22.31, 12.16
exit 4, smart agent 8, 1, 7.80, 20.61, 12.38
door 8, smart agent 35, 1, -16.99, 4.35, 12.68
door 9, smart agent 35, 1, -16.99, 4.35, 12.68
exit 4, smart agent 5, 1, 7.80, 20.61, 12.78
exit 3, smart agent 29, 1, -44.45, -4.92, 12.90
door 41, smart agent 6, 1, 43.91, 17.81, 12.96
door 23, smart agent 37, 1, 0.67, -11.47, 13.22
exit 3, smart agent 22, 1, -44.45, -4.92, 13.54
door 45, smart agent 6, 1, 44.71, 19.39, 13.98
door 64, smart agent 16, 1, 40.48, -9.48, 14.58
exit 3, smart agent 23, 1, -44.45, -4.92, 14.70
exit 3, smart agent 21, 1, -44.45, -4.92, 14.84
intersection node 2, smart agent 27, 1, -17.29, -10.63, 15.02
exit 9, smart agent 38, 1, 45.08, -8.02, 15.48
door 64, smart agent 18, 1, 40.48, -9.48, 15.74
module node 3, smart agent 26, 1, -7.09, -11.43, 16.18
door 13, smart agent 35, 1, -16.30, 1.16, 16.50
exit 6, smart agent 6, 1, 48.48, 22.25, 17.76
door 64, smart agent 3, 1, 40.48, -9.48, 18.66
module node 3, smart agent 1, 1, -7.09, -11.43, 18.68
exit 9, smart agent 16, 1, 45.08, -8.02, 18.80
door 2, smart agent 33, 1, -41.04, -0.40, 18.90
module node 3, smart agent 24, 1, -7.09, -11.43, 19.18
door 2, smart agent 34, 1, -41.04, -0.40, 19.40
exit 9, smart agent 18, 1, 45.08, -8.02, 19.96
door 64, smart agent 17, 1, 40.48, -9.48, 20.12
door 23, smart agent 28, 1, 0.67, -11.47, 20.72
exit 2, smart agent 36, 1, -46.37, 23.80, 20.78
door 23, smart agent 26, 1, 0.67, -11.47, 22.48
exit 9, smart agent 3, 1, 45.08, -8.02, 22.94
exit 3, smart agent 33, 1, -44.45, -4.92, 24.02
exit 9, smart agent 17, 1, 45.08, -8.02, 24.32
exit 3, smart agent 34, 1, -44.45, -4.92, 24.52
door 23, smart agent 1, 1, 0.67, -11.47, 25.18
door 23, smart agent 25, 1, 0.67, -11.47, 25.34
door 23, smart agent 24, 1, 0.67, -11.47, 25.68
door 33, smart agent 20, 1, 7.80, 15.06, 27.38
door 23, smart agent 27, 1, 0.67, -11.47, 29.30
exit 4, smart agent 20, 1, 7.80, 20.61, 31.94
door 46, smart agent 40, 1, 41.67, 22.25, 33.54
door 33, smart agent 19, 1, 7.80, 15.06, 34.90
door 33, smart agent 37, 1, 7.80, 15.06, 35.48
door 11, smart agent 35, 1, 3.65, 17.66, 37.06
door 33, smart agent 14, 1, 7.80, 15.06, 37.98
exit 5, smart agent 40, 1, 46.95, 23.78, 38.04
exit 4, smart agent 19, 1, 7.80, 20.61, 39.46
door 33, smart agent 15, 1, 7.80, 15.06, 39.78
exit 4, smart agent 37, 1, 7.80, 20.61, 40.04
exit 4, smart agent 35, 1, 7.80, 20.61, 41.28
door 33, smart agent 2, 1, 7.80, 15.06, 41.68
exit 4, smart agent 14, 1, 7.80, 20.61, 42.54
door 33, smart agent 28, 1, 7.80, 15.06, 43.22
exit 4, smart agent 15, 1, 7.80, 20.61, 44.34
door 33, smart agent 26, 1, 7.80, 15.06, 44.92
door 33, smart agent 12, 1, 7.80, 15.06, 45.12
door 33, smart agent 13, 1, 7.80, 15.06, 45.92
exit 4, smart agent 2, 1, 7.80, 20.61, 46.24
door 33, smart agent 25, 1, 7.80, 15.06, 47.68
exit 4, smart agent 28, 1, 7.80, 20.61, 47.78
door 33, smart agent 1, 1, 7.80, 15.06, 48.18
door 33, smart agent 24, 1, 7.80, 15.06, 48.68
exit 4, smart agent 12, 1, 7.80, 20.61, 49.70
exit 4, smart agent 26, 1, 7.80, 20.61, 49.88
exit 4, smart agent 13, 1, 7.80, 20.61, 50.52
door 33, smart agent 27, 1, 7.80, 15.06, 51.72
exit 4, smart agent 25, 1, 7.80, 20.61, 52.24
exit 4, smart agent 1, 1, 7.80, 20.61, 52.76
exit 4, smart agent 24, 1, 7.80, 20.61, 53.28
exit 4, smart agent 27, 1, 7.80, 20.61, 56.28
