Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
door 81, smart agent 1, 49.05, 12.40, 1.32
door 38, smart agent 1, 58.05, 15.40, 4.30
door 38, smart agent 1, 58.05, 15.40, 4.90
door 85, smart agent 1, 58.05, 15.52, 5.24
door 85, smart agent 1, 58.05, 15.52, 6.08
door 85, smart agent 1, 58.05, 15.52, 6.52
door 38, smart agent 1, 58.05, 15.40, 7.30
door 38, smart agent 1, 58.05, 15.40, 7.66
door 38, smart agent 1, 58.05, 15.40, 7.94
door 85, smart agent 1, 58.05, 15.52, 8.64
door 85, smart agent 1, 58.05, 15.52, 9.22
door 38, smart agent 1, 58.05, 15.40, 9.54
door 36, smart agent 1, 64.05, 15.40, 11.28
door 36, smart agent 1, 64.05, 15.40, 11.94
door 84, smart agent 1, 64.05, 15.52, 12.68
door 84, smart agent 1, 64.05, 15.52, 13.10
door 36, smart agent 1, 64.05, 15.40, 13.48
door 36, smart agent 1, 64.05, 15.40, 13.94
door 36, smart agent 1, 64.05, 15.40, 14.30
door 36, smart agent 1, 64.05, 15.40, 14.60
door 84, smart agent 1, 64.05, 15.52, 15.44
door 84, smart agent 1, 64.05, 15.52, 15.82
door 84, smart agent 1, 64.05, 15.52, 16.28
door 84, smart agent 1, 64.05, 15.52, 16.74
door 36, smart agent 1, 64.05, 15.40, 17.38
door 36, smart agent 1, 64.05, 15.40, 17.76
door 36, smart agent 1, 64.05, 15.40, 18.12
door 36, smart agent 1, 64.05, 15.40, 18.40
door 36, smart agent 1, 64.05, 15.40, 18.74
door 36, smart agent 1, 64.05, 15.40, 19.04
