Agent Name, Door Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D(Clone), door 14, 0.19, 0.20, 1.02
SmartAgent3D(Clone), door 13, 0.06, 0.20, 1.04
SmartAgent3D(Clone), door 9, 0.87, 3.89, 1.18
SmartAgent3D(Clone), door 16, -0.50, -2.61, 1.36
SmartAgent3D(Clone), door 11, -0.38, 7.20, 1.38
SmartAgent3D(Clone), door 23, -4.00, 3.89, 1.88
SmartAgent3D(Clone), door 19, 13.00, 3.89, 1.88
SmartAgent3D(Clone), door 24, -13.00, 3.89, 1.88
SmartAgent3D(Clone), door 21, -4.00, 0.77, 1.88
SmartAgent3D(Clone), door 22, -13.00, 0.77, 1.88
SmartAgent3D(Clone), door 18, 10.00, 0.77, 1.88
SmartAgent3D(Clone), door 20, 10.00, 3.89, 1.90
SmartAgent3D(Clone), door 17, 13.00, 0.77, 1.90
SmartAgent3D(Clone), door 12, -0.38, 7.07, 2.08
SmartAgent3D(Clone), door 15, -0.50, -2.48, 2.14
SmartAgent3D(Clone), door 13, 0.06, 0.20, 3.40
