Agent Name, Door Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D (6), door 9, 0.65, -0.54, 1.24
SmartAgent3D (0), door 11, -0.6, 2.77, 1.28
SmartAgent3D (0), door 12, -0.6, 2.64, 1.3
SmartAgent3D (7), door 14, -0.04, -4.23, 1.5
SmartAgent3D (1), door 16, -0.73, -7.04, 1.5
SmartAgent3D (0), door 12, -0.6, 2.64, 1.54
SmartAgent3D (0), door 12, -0.6, 2.64, 1.66
SmartAgent3D (0), door 11, -0.6, 2.77, 1.68
SmartAgent3D (8), door 21, -4.23, -3.66, 1.7
SmartAgent3D (4), door 19, 12.77, -0.54, 1.76
SmartAgent3D (9), door 22, -13.23, -3.66, 1.78
SmartAgent3D (5), door 20, 9.77, -0.54, 1.8
SmartAgent3D (7), door 13, -0.17, -4.23, 1.9
SmartAgent3D (10), door 24, -13.23, -0.54, 2.12
SmartAgent3D (1), door 15, -0.73, -6.91, 2.12
SmartAgent3D (11), door 23, -4.23, -0.54, 2.18
SmartAgent3D (3), door 17, 12.77, -3.66, 2.56
SmartAgent3D (2), door 18, 9.77, -3.66, 2.62
SmartAgent3D (7), door 15, -0.73, -6.91, 3.6
SmartAgent3D (1), door 13, -0.17, -4.23, 3.62
SmartAgent3D (7), door 16, -0.73, -7.04, 4.18
SmartAgent3D (7), door 16, -0.73, -7.04, 4.32
SmartAgent3D (7), door 15, -0.73, -6.91, 4.34
