Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
door 64, smart agent 37, -35.52, 0.68, 1.80
door 34, smart agent 39, -17.52, 0.58, 1.82
door 47, smart agent 42, 77.91, -35.82, 1.82
door 13, smart agent 22, 4.95, 38.25, 1.84
door 33, smart agent 37, -35.52, 0.58, 1.86
door 11, smart agent 22, 4.83, 38.25, 1.88
door 66, smart agent 13, -59.11, 0.91, 1.88
door 84, smart agent 3, 6.29, -0.96, 1.90
door 30, smart agent 13, -59.01, 0.91, 1.94
exit 3, smart agent 16, -56.84, 43.83, 1.94
door 25, smart agent 3, 6.29, -0.84, 1.96
door 102, smart agent 2, 25.47, -1.88, 1.96
door 70, smart agent 29, 55.61, 25.45, 1.98
door 57, smart agent 33, 3.67, 13.96, 1.98
door 65, smart agent 40, -2.52, 0.68, 1.98
door 78, smart agent 43, 72.77, -35.94, 2.00
door 73, smart agent 48, 56.53, -15.32, 2.00
exit 10, smart agent 2, 25.47, -1.76, 2.02
door 35, smart agent 41, 71.53, -23.58, 2.02
door 48, smart agent 41, 71.53, -23.57, 2.02
door 50, smart agent 29, 55.73, 25.47, 2.02
door 123, smart agent 33, 3.55, 13.96, 2.04
door 44, smart agent 43, 72.77, -35.82, 2.04
door 58, smart agent 49, 56.53, -9.32, 2.04
door 72, smart agent 12, -59.12, -2.58, 2.04
door 38, smart agent 48, 56.41, -15.32, 2.06
door 28, smart agent 40, -2.52, 0.58, 2.06
door 60, smart agent 14, -60.38, 24.79, 2.10
door 72, smart agent 12, -59.12, -2.58, 2.10
door 26, smart agent 12, -58.99, -2.58, 2.10
door 123, smart agent 33, 3.55, 13.96, 2.10
door 57, smart agent 33, 3.67, 13.96, 2.10
door 11, smart agent 21, 4.83, 38.25, 2.10
door 70, smart agent 29, 55.61, 25.45, 2.10
door 50, smart agent 29, 55.73, 25.47, 2.10
door 73, smart agent 48, 56.53, -15.32, 2.10
door 58, smart agent 49, 56.53, -9.32, 2.10
door 48, smart agent 41, 71.53, -23.57, 2.10
door 35, smart agent 41, 71.53, -23.58, 2.10
door 30, smart agent 13, -59.01, 0.91, 2.10
intersection node 2, smart agent 11, -58.00, -2.00, 2.10
door 74, smart agent 6, -17.65, -3.84, 2.10
door 65, smart agent 40, -2.52, 0.68, 2.10
door 28, smart agent 40, -2.52, 0.58, 2.10
door 84, smart agent 3, 6.29, -0.96, 2.10
door 25, smart agent 3, 6.29, -0.84, 2.10
door 38, smart agent 48, 56.41, -15.32, 2.10
door 39, smart agent 49, 56.41, -9.32, 2.10
door 44, smart agent 43, 72.77, -35.82, 2.10
door 78, smart agent 43, 72.77, -35.94, 2.10
door 47, smart agent 42, 77.91, -35.82, 2.10
door 93, smart agent 42, 77.92, -35.94, 2.10
door 83, smart agent 46, 54.15, -27.19, 2.12
door 62, smart agent 28, 55.61, 18.45, 2.14
door 98, smart agent 34, -8.52, 20.80, 2.14
door 16, smart agent 14, -60.26, 24.79, 2.14
door 37, smart agent 46, 54.15, -27.07, 2.16
door 79, smart agent 47, 37.47, -18.23, 2.16
door 13, smart agent 21, 4.95, 38.25, 2.16
door 51, smart agent 28, 55.73, 18.45, 2.18
door 23, smart agent 34, -8.52, 20.92, 2.18
door 41, smart agent 47, 37.47, -18.17, 2.18
door 55, smart agent 30, 2.38, 15.01, 2.20
door 70, smart agent 29, 55.61, 25.45, 2.20
door 28, smart agent 40, -2.52, 0.58, 2.20
door 81, smart agent 45, 57.02, -27.19, 2.22
door 38, smart agent 48, 56.41, -15.32, 2.22
door 112, smart agent 51, 72.97, -1.76, 2.24
door 70, smart agent 29, 55.61, 25.45, 2.24
door 99, smart agent 35, -26.52, 20.80, 2.26
door 35, smart agent 41, 71.53, -23.58, 2.26
door 122, smart agent 30, 2.38, 14.89, 2.28
door 36, smart agent 45, 57.02, -27.07, 2.28
door 46, smart agent 51, 72.97, -1.88, 2.30
door 22, smart agent 35, -26.52, 20.92, 2.32
door 51, smart agent 26, 55.73, 18.45, 2.34
door 44, smart agent 44, 72.77, -35.82, 2.40
door 122, smart agent 30, 2.38, 14.89, 2.42
door 62, smart agent 26, 55.61, 18.45, 2.44
door 36, smart agent 45, 57.02, -27.07, 2.44
door 78, smart agent 44, 72.77, -35.94, 2.46
door 46, smart agent 51, 72.97, -1.88, 2.46
door 61, smart agent 15, -60.38, 32.65, 2.48
door 15, smart agent 15, -60.28, 32.65, 2.52
door 54, smart agent 32, 2.38, 12.91, 2.60
door 121, smart agent 32, 2.38, 13.03, 2.64
door 62, smart agent 26, 55.61, 18.45, 2.68
intersection node 1, smart agent 14, -58.00, 24.00, 2.76
door 122, smart agent 33, 2.38, 14.89, 2.80
door 48, smart agent 41, 71.53, -23.57, 2.84
door 35, smart agent 41, 71.53, -23.58, 2.84
door 59, smart agent 43, 71.51, -34.38, 2.84
door 45, smart agent 43, 71.48, -34.38, 2.88
door 55, smart agent 33, 2.38, 15.01, 2.88
door 51, smart agent 26, 55.73, 18.45, 2.90
door 126, smart agent 27, 42.17, 4.01, 2.94
door 125, smart agent 27, 42.17, 3.89, 3.02
door 55, smart agent 33, 2.38, 15.01, 3.02
exit 11, smart agent 31, 15.27, -1.76, 3.04
door 45, smart agent 43, 71.48, -34.38, 3.06
door 48, smart agent 41, 71.53, -23.57, 3.06
intersection node 6, smart agent 20, 0.00, 24.00, 3.08
door 44, smart agent 44, 72.77, -35.82, 3.14
door 8, smart agent 19, -21.03, 37.50, 3.14
door 3, smart agent 19, -21.19, 37.50, 3.18
door 121, smart agent 30, 2.38, 13.03, 3.20
door 38, smart agent 50, 56.41, -15.32, 3.26
door 54, smart agent 30, 2.38, 12.91, 3.28
door 3, smart agent 19, -21.19, 37.50, 3.32
door 8, smart agent 19, -21.03, 37.50, 3.32
intersection node 6, smart agent 20, 0.00, 24.00, 3.32
door 38, smart agent 50, 56.41, -15.32, 3.32
door 73, smart agent 50, 56.53, -15.32, 3.32
door 122, smart agent 33, 2.38, 14.89, 3.32
door 55, smart agent 33, 2.38, 15.01, 3.32
door 54, smart agent 30, 2.38, 12.91, 3.32
door 121, smart agent 30, 2.38, 13.03, 3.32
module node 28, smart agent 52, 60.90, 2.00, 3.32
door 48, smart agent 41, 71.53, -23.57, 3.32
door 35, smart agent 41, 71.53, -23.58, 3.32
door 44, smart agent 44, 72.77, -35.82, 3.32
door 78, smart agent 44, 72.77, -35.94, 3.32
door 54, smart agent 30, 2.38, 12.91, 3.42
door 3, smart agent 19, -21.19, 37.50, 3.52
door 8, smart agent 19, -21.03, 37.50, 3.52
door 73, smart agent 50, 56.53, -15.32, 3.52
module node 28, smart agent 52, 60.90, 2.00, 3.52
intersection node 6, smart agent 20, 0.00, 24.00, 3.52
door 55, smart agent 33, 2.38, 15.01, 3.52
door 38, smart agent 50, 56.41, -15.32, 3.52
door 44, smart agent 44, 72.77, -35.82, 3.52
door 45, smart agent 43, 71.48, -34.38, 3.56
door 59, smart agent 43, 71.51, -34.38, 3.56
door 122, smart agent 32, 2.38, 14.89, 3.66
module node 3, smart agent 8, -40.00, -2.00, 3.68
door 3, smart agent 19, -21.19, 37.50, 3.72
door 8, smart agent 19, -21.03, 37.50, 3.72
door 73, smart agent 50, 56.53, -15.32, 3.72
door 45, smart agent 43, 71.48, -34.38, 3.72
door 59, smart agent 43, 71.51, -34.38, 3.72
module node 3, smart agent 8, -40.00, -2.00, 3.72
intersection node 6, smart agent 20, 0.00, 24.00, 3.72
door 122, smart agent 32, 2.38, 14.89, 3.72
door 55, smart agent 32, 2.38, 15.01, 3.72
door 55, smart agent 33, 2.38, 15.01, 3.72
door 38, smart agent 50, 56.41, -15.32, 3.72
door 37, smart agent 45, 54.15, -27.07, 3.80
intersection node 5, smart agent 4, 3.00, 2.00, 3.80
door 83, smart agent 45, 54.15, -27.19, 3.86
door 36, smart agent 46, 57.02, -27.07, 3.86
door 55, smart agent 32, 2.38, 15.01, 3.88
door 80, smart agent 36, -54.51, 0.67, 3.92
door 81, smart agent 46, 57.02, -27.19, 3.92
door 31, smart agent 36, -54.51, 0.58, 3.96
door 44, smart agent 42, 72.77, -35.82, 3.98
door 78, smart agent 42, 72.77, -35.94, 4.04
door 41, smart agent 1, 37.47, -18.17, 4.04
door 79, smart agent 1, 37.47, -18.23, 4.06
door 81, smart agent 46, 57.02, -27.19, 4.08
door 10, smart agent 23, -3.03, 49.50, 4.10
door 7, smart agent 23, -3.15, 49.50, 4.14
exit 1, smart agent 13, -60.26, 6.79, 4.18
door 2, smart agent 17, -48.31, 26.85, 4.20
module node 8, smart agent 6, -10.00, -2.00, 4.22
door 20, smart agent 17, -48.31, 26.72, 4.24
door 54, smart agent 30, 2.38, 12.91, 4.38
door 121, smart agent 30, 2.38, 13.03, 4.42
module node 19, smart agent 20, 3.40, 24.00, 4.48
door 83, smart agent 45, 54.15, -27.19, 4.50
door 59, smart agent 43, 71.51, -34.38, 4.60
door 45, smart agent 43, 71.48, -34.38, 4.60
door 37, smart agent 45, 54.15, -27.07, 4.62
door 79, smart agent 1, 37.47, -18.23, 4.66
module node 31, smart agent 14, -58.00, 18.00, 4.68
door 55, smart agent 32, 2.38, 15.01, 4.68
door 41, smart agent 1, 37.47, -18.17, 4.72
door 122, smart agent 32, 2.38, 14.89, 4.72
door 40, smart agent 47, 33.48, -10.88, 4.72
door 51, smart agent 29, 55.73, 18.45, 4.74
module node 1, smart agent 9, -52.00, -2.00, 4.76
door 69, smart agent 47, 33.47, -10.76, 4.76
door 78, smart agent 42, 72.77, -35.94, 4.78
door 62, smart agent 29, 55.61, 18.45, 4.80
door 123, smart agent 30, 3.55, 13.96, 4.86
door 44, smart agent 42, 72.77, -35.82, 4.86
door 57, smart agent 30, 3.67, 13.96, 4.92
door 55, smart agent 33, 2.38, 15.01, 4.94
door 62, smart agent 29, 55.61, 18.45, 4.96
door 38, smart agent 49, 56.41, -15.32, 4.98
intersection node 6, smart agent 34, 0.00, 24.00, 4.98
door 122, smart agent 33, 2.38, 14.89, 5.02
door 73, smart agent 49, 56.53, -15.32, 5.02
door 62, smart agent 29, 55.61, 18.45, 5.02
module node 27, smart agent 52, 54.90, 2.00, 5.04
door 57, smart agent 30, 3.67, 13.96, 5.08
exit 1, smart agent 11, -60.26, 6.79, 5.14
door 123, smart agent 32, 3.55, 13.96, 5.14
door 50, smart agent 28, 55.73, 25.47, 5.14
door 57, smart agent 30, 3.67, 13.96, 5.16
door 70, smart agent 28, 55.61, 25.45, 5.18
intersection node 1, smart agent 15, -58.00, 24.00, 5.18
door 123, smart agent 30, 3.55, 13.96, 5.20
door 123, smart agent 30, 3.55, 13.96, 5.30
exit 1, smart agent 12, -60.26, 6.79, 5.36
module node 2, smart agent 8, -46.00, -2.00, 5.38
door 69, smart agent 47, 33.47, -10.76, 5.42
door 40, smart agent 47, 33.48, -10.88, 5.52
door 70, smart agent 28, 55.61, 25.45, 5.52
door 59, smart agent 42, 71.51, -34.38, 5.56
door 45, smart agent 42, 71.48, -34.38, 5.58
door 121, smart agent 33, 2.38, 13.03, 5.66
door 54, smart agent 33, 2.38, 12.91, 5.70
door 45, smart agent 42, 71.48, -34.38, 5.78
door 45, smart agent 42, 71.48, -34.38, 5.80
door 122, smart agent 30, 2.38, 14.89, 5.82
door 12, smart agent 22, 4.83, 49.50, 5.82
door 55, smart agent 30, 2.38, 15.01, 5.86
door 73, smart agent 49, 56.53, -15.32, 5.86
door 14, smart agent 22, 4.95, 49.50, 5.88
door 121, smart agent 33, 2.38, 13.03, 5.88
intersection node 5, smart agent 5, 3.00, 2.00, 5.90
door 38, smart agent 49, 56.41, -15.32, 5.92
door 54, smart agent 33, 2.38, 12.91, 5.92
exit 2, smart agent 25, 76.67, 50.89, 5.98
door 123, smart agent 32, 3.55, 13.96, 6.04
module node 19, smart agent 34, 3.40, 24.00, 6.04
door 47, smart agent 44, 77.91, -35.82, 6.04
door 55, smart agent 30, 2.38, 15.01, 6.04
module node 3, smart agent 7, -40.00, -2.00, 6.06
door 55, smart agent 30, 2.38, 15.01, 6.08
door 93, smart agent 44, 77.92, -35.94, 6.10
door 54, smart agent 33, 2.38, 12.91, 6.10
door 57, smart agent 32, 3.67, 13.96, 6.14
door 121, smart agent 33, 2.38, 13.03, 6.14
module node 20, smart agent 20, 9.40, 24.00, 6.18
door 36, smart agent 48, 57.02, -27.07, 6.22
door 39, smart agent 50, 56.41, -9.32, 6.24
door 81, smart agent 48, 57.02, -27.19, 6.26
door 57, smart agent 32, 3.67, 13.96, 6.26
door 122, smart agent 30, 2.38, 14.89, 6.26
door 58, smart agent 50, 56.53, -9.32, 6.30
door 122, smart agent 30, 2.38, 14.89, 6.30
door 121, smart agent 33, 2.38, 13.03, 6.32
door 14, smart agent 22, 4.95, 49.50, 6.38
door 12, smart agent 21, 4.83, 49.50, 6.46
door 14, smart agent 21, 4.95, 49.50, 6.52
door 12, smart agent 22, 4.83, 49.50, 6.54
door 59, smart agent 42, 71.51, -34.38, 6.56
door 45, smart agent 42, 71.48, -34.38, 6.66
exit 1, smart agent 10, -60.26, 6.79, 6.70
door 47, smart agent 43, 77.91, -35.82, 6.74
door 93, smart agent 44, 77.92, -35.94, 6.82
door 93, smart agent 43, 77.92, -35.94, 6.82
door 58, smart agent 50, 56.53, -9.32, 6.84
door 81, smart agent 48, 57.02, -27.19, 6.84
module node 1, smart agent 37, -52.00, -2.00, 6.88
exit 11, smart agent 3, 15.27, -1.76, 6.96
door 39, smart agent 50, 56.41, -9.32, 6.98
door 36, smart agent 48, 57.02, -27.07, 7.04
door 47, smart agent 44, 77.91, -35.82, 7.08
module node 1, smart agent 8, -52.00, -2.00, 7.10
door 57, smart agent 32, 3.67, 13.96, 7.20
door 123, smart agent 32, 3.55, 13.96, 7.34
exit 1, smart agent 36, -60.26, 6.79, 7.34
door 123, smart agent 33, 3.55, 13.96, 7.36
door 123, smart agent 30, 3.55, 13.96, 7.36
door 59, smart agent 41, 71.51, -34.38, 7.46
door 45, smart agent 41, 71.48, -34.38, 7.52
