Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
module node 4, smart agent 4, -6.94, -13.56, 38.36
module node 21, smart agent 2, -12.94, -7.56, 38.38
module node 21, smart agent 2, -12.94, -7.56, 38.42
module node 21, smart agent 2, -12.94, -7.56, 38.46
module node 21, smart agent 2, -12.94, -7.56, 38.50
module node 21, smart agent 2, -12.94, -7.56, 38.54
module node 21, smart agent 2, -12.94, -7.56, 38.58
module node 21, smart agent 2, -12.94, -7.56, 38.62
module node 21, smart agent 2, -12.94, -7.56, 38.66
module node 21, smart agent 2, -12.94, -7.56, 38.70
module node 21, smart agent 2, -12.94, -7.56, 38.74
module node 21, smart agent 2, -12.94, -7.56, 38.78
module node 21, smart agent 2, -12.94, -7.56, 38.82
module node 21, smart agent 2, -12.94, -7.56, 38.86
module node 21, smart agent 2, -12.94, -7.56, 38.90
module node 21, smart agent 2, -12.94, -7.56, 38.94
module node 21, smart agent 2, -12.94, -7.56, 38.98
module node 20, smart agent 5, -0.94, -13.56, 39.02
module node 21, smart agent 2, -12.94, -7.56, 39.02
module node 20, smart agent 5, -0.94, -13.56, 39.06
module node 21, smart agent 2, -12.94, -7.56, 39.06
module node 20, smart agent 5, -0.94, -13.56, 39.10
module node 21, smart agent 2, -12.94, -7.56, 39.10
module node 20, smart agent 5, -0.94, -13.56, 39.14
module node 21, smart agent 2, -12.94, -7.56, 39.14
module node 20, smart agent 5, -0.94, -13.56, 39.18
module node 21, smart agent 2, -12.94, -7.56, 39.18
module node 3, smart agent 4, -3.94, -13.56, 39.22
module node 20, smart agent 5, -0.94, -13.56, 39.22
module node 21, smart agent 2, -12.94, -7.56, 39.22
module node 3, smart agent 4, -3.94, -13.56, 39.26
module node 20, smart agent 5, -0.94, -13.56, 39.26
module node 21, smart agent 2, -12.94, -7.56, 39.26
module node 3, smart agent 4, -3.94, -13.56, 39.30
module node 20, smart agent 5, -0.94, -13.56, 39.30
module node 21, smart agent 2, -12.94, -7.56, 39.30
module node 3, smart agent 4, -3.94, -13.56, 39.34
module node 20, smart agent 5, -0.94, -13.56, 39.34
module node 21, smart agent 2, -12.94, -7.56, 39.34
module node 3, smart agent 4, -3.94, -13.56, 39.38
module node 20, smart agent 5, -0.94, -13.56, 39.38
module node 21, smart agent 2, -12.94, -7.56, 39.38
module node 3, smart agent 4, -3.94, -13.56, 39.42
module node 20, smart agent 5, -0.94, -13.56, 39.42
module node 21, smart agent 2, -12.94, -7.56, 39.42
module node 3, smart agent 4, -3.94, -13.56, 39.46
module node 20, smart agent 5, -0.94, -13.56, 39.46
module node 21, smart agent 2, -12.94, -7.56, 39.46
module node 3, smart agent 4, -3.94, -13.56, 39.50
module node 20, smart agent 5, -0.94, -13.56, 39.50
module node 21, smart agent 2, -12.94, -7.56, 39.50
module node 3, smart agent 4, -3.94, -13.56, 39.54
module node 20, smart agent 5, -0.94, -13.56, 39.54
module node 21, smart agent 2, -12.94, -7.56, 39.54
module node 3, smart agent 4, -3.94, -13.56, 39.58
module node 20, smart agent 5, -0.94, -13.56, 39.58
module node 21, smart agent 2, -12.94, -7.56, 39.58
module node 20, smart agent 4, -0.94, -13.56, 40.56
module node 6, smart agent 5, -0.94, -10.56, 40.56
module node 7, smart agent 2, -12.94, -10.56, 40.56
module node 6, smart agent 5, -0.94, -10.56, 40.60
module node 20, smart agent 4, -0.94, -13.56, 40.60
module node 7, smart agent 2, -12.94, -10.56, 40.60
module node 6, smart agent 5, -0.94, -10.56, 40.64
module node 20, smart agent 4, -0.94, -13.56, 40.64
module node 7, smart agent 2, -12.94, -10.56, 40.64
module node 6, smart agent 5, -0.94, -10.56, 40.68
module node 20, smart agent 4, -0.94, -13.56, 40.68
module node 7, smart agent 2, -12.94, -10.56, 40.68
module node 6, smart agent 5, -0.94, -10.56, 40.72
module node 20, smart agent 4, -0.94, -13.56, 40.72
module node 7, smart agent 2, -12.94, -10.56, 40.72
module node 6, smart agent 5, -0.94, -10.56, 40.76
module node 20, smart agent 4, -0.94, -13.56, 40.76
module node 7, smart agent 2, -12.94, -10.56, 40.76
module node 6, smart agent 5, -0.94, -10.56, 40.80
module node 20, smart agent 4, -0.94, -13.56, 40.80
module node 7, smart agent 2, -12.94, -10.56, 40.80
module node 6, smart agent 5, -0.94, -10.56, 40.84
module node 20, smart agent 4, -0.94, -13.56, 40.84
module node 7, smart agent 2, -12.94, -10.56, 40.84
module node 6, smart agent 5, -0.94, -10.56, 40.88
module node 20, smart agent 4, -0.94, -13.56, 40.88
module node 7, smart agent 2, -12.94, -10.56, 40.88
module node 6, smart agent 5, -0.94, -10.56, 40.92
module node 20, smart agent 4, -0.94, -13.56, 40.92
module node 7, smart agent 2, -12.94, -10.56, 40.92
module node 6, smart agent 5, -0.94, -10.56, 40.96
