Category, Minimun, Maximum, Average
Node Records, module node 56 : 0 agents, module node 20 : 10 agents, 2.93 agents
Node Visits, smart agent 4 : 3 nodes, smart agent 3 : 53 nodes, 32.80 nodes
Door Records, door 1 : 5 agents, door 1 : 5 agents, 5.00 agents
Door Visits, smart agent 5 : 1 doors, smart agent 5 : 1 doors, 1.00 doors
Exit Records, exit 1 : 5 agents, exit 1 : 5 agents, 5.00 agents
Exit Time, 2.20 seconds, 52.74 seconds, 30.18 seconds
