Agent Name, Exit Name, Position-X, Position-Z, Exit Time (Seconds)
smart agent 4, exit 1, 24.49-X, 0.03-Z, 2.2 seconds
smart agent 2, exit 1, 24.49-X, 0.03-Z, 23.42 seconds
smart agent 1, exit 1, 24.49-X, 0.03-Z, 29.7 seconds
smart agent 5, exit 1, 24.49-X, 0.03-Z, 42.82 seconds
smart agent 3, exit 1, 24.49-X, 0.03-Z, 52.74 seconds
