Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
module node 20, smart agent 4, -0.94, -13.56, 0.00
intersection node 3, smart agent 2, -9.94, -4.56, 0.00
module node 16, smart agent 3, -0.94, 7.44, 0.00
module node 18, smart agent 5, -12.94, 7.44, 0.68
module node 12, smart agent 2, -6.94, -4.56, 1.02
module node 6, smart agent 4, -0.94, -10.56, 1.16
module node 2, smart agent 3, -0.94, 4.44, 1.16
door 1, smart agent 3, -0.94, 3.00, 1.62
intersection node 4, smart agent 2, -3.94, -4.56, 1.88
module node 1, smart agent 3, -0.94, 1.44, 2.02
exit 1, smart agent 3, -0.94, 0.00, 2.50
module node 10, smart agent 5, -9.94, 4.44, 2.66
intersection node 3, smart agent 1, -9.94, -4.56, 2.92
module node 14, smart agent 2, -3.94, -1.56, 3.00
intersection node 4, smart agent 4, -3.94, -4.56, 3.02
intersection node 1, smart agent 5, -9.94, 1.44, 3.50
intersection node 2, smart agent 2, -3.94, 1.44, 3.86
module node 12, smart agent 1, -6.94, -4.56, 3.94
module node 12, smart agent 4, -6.94, -4.56, 4.02
module node 9, smart agent 5, -6.94, 1.44, 4.58
intersection node 4, smart agent 1, -3.94, -4.56, 4.80
intersection node 3, smart agent 4, -9.94, -4.56, 4.86
module node 9, smart agent 2, -6.94, 1.44, 5.00
intersection node 2, smart agent 5, -3.94, 1.44, 5.44
intersection node 1, smart agent 2, -9.94, 1.44, 5.86
module node 14, smart agent 1, -3.94, -1.56, 5.86
module node 13, smart agent 4, -9.94, -1.56, 6.02
module node 14, smart agent 5, -3.94, -1.56, 6.64
intersection node 2, smart agent 1, -3.94, 1.44, 6.76
intersection node 1, smart agent 4, -9.94, 1.44, 6.88
module node 10, smart agent 2, -9.94, 4.44, 7.02
intersection node 4, smart agent 5, -3.94, -4.56, 7.50
module node 9, smart agent 1, -6.94, 1.44, 7.80
module node 17, smart agent 2, -9.94, 7.44, 7.88
module node 9, smart agent 4, -6.94, 1.44, 8.22
module node 12, smart agent 5, -6.94, -4.56, 8.62
intersection node 1, smart agent 1, -9.94, 1.44, 8.66
intersection node 2, smart agent 4, -3.94, 1.44, 8.94
module node 18, smart agent 2, -12.94, 7.44, 9.02
intersection node 3, smart agent 5, -9.94, -4.56, 9.48
module node 10, smart agent 1, -9.94, 4.44, 9.82
intersection node 3, smart agent 5, -9.94, -4.56, 9.82
