Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
module node 20, smart agent 1, -0.94, -13.56, 0.00
intersection node 3, smart agent 4, -9.94, -4.56, 0.00
module node 16, smart agent 3, -0.94, 7.44, 0.00
module node 18, smart agent 5, -12.94, 7.44, 0.68
module node 12, smart agent 4, -6.94, -4.56, 1.02
module node 6, smart agent 1, -0.94, -10.56, 1.16
module node 2, smart agent 3, -0.94, 4.44, 1.16
door 1, smart agent 3, -0.94, 3.00, 1.62
intersection node 4, smart agent 4, -3.94, -4.56, 1.88
module node 1, smart agent 3, -0.94, 1.44, 2.02
module node 17, smart agent 5, -9.94, 7.44, 2.06
exit 1, smart agent 3, -0.94, 0.00, 2.50
module node 10, smart agent 5, -9.94, 4.44, 2.82
intersection node 3, smart agent 2, -9.94, -4.56, 2.92
module node 14, smart agent 4, -3.94, -1.56, 2.98
intersection node 4, smart agent 1, -3.94, -4.56, 3.02
intersection node 1, smart agent 5, -9.94, 1.44, 3.68
intersection node 2, smart agent 4, -3.94, 1.44, 3.84
module node 12, smart agent 2, -6.94, -4.56, 3.92
module node 12, smart agent 1, -6.94, -4.56, 4.20
intersection node 4, smart agent 2, -3.94, -4.56, 4.78
module node 13, smart agent 5, -9.94, -1.56, 4.84
module node 9, smart agent 4, -6.94, 1.44, 4.98
intersection node 3, smart agent 1, -9.94, -4.56, 5.02
intersection node 3, smart agent 5, -9.94, -4.56, 5.70
intersection node 1, smart agent 4, -9.94, 1.44, 5.82
module node 14, smart agent 2, -3.94, -1.56, 5.84
module node 13, smart agent 1, -9.94, -1.56, 6.18
intersection node 2, smart agent 2, -3.94, 1.44, 6.70
module node 12, smart agent 5, -6.94, -4.56, 6.82
module node 10, smart agent 4, -9.94, 4.44, 6.90
intersection node 1, smart agent 1, -9.94, 1.44, 7.02
intersection node 4, smart agent 5, -3.94, -4.56, 7.68
module node 9, smart agent 2, -6.94, 1.44, 7.80
module node 17, smart agent 4, -9.94, 7.44, 7.86
module node 9, smart agent 1, -6.94, 1.44, 8.30
intersection node 1, smart agent 2, -9.94, 1.44, 8.66
module node 14, smart agent 5, -3.94, -1.56, 8.80
intersection node 2, smart agent 1, -3.94, 1.44, 8.96
module node 18, smart agent 4, -12.94, 7.44, 9.00
intersection node 2, smart agent 5, -3.94, 1.44, 9.66
module node 10, smart agent 2, -9.94, 4.44, 9.80
module node 8, smart agent 4, -12.94, 4.44, 10.06
module node 11, smart agent 1, -3.94, 4.44, 10.10
module node 8, smart agent 4, -12.94, 4.44, 10.28
module node 17, smart agent 2, -9.94, 7.44, 10.68
module node 9, smart agent 5, -6.94, 1.44, 10.80
module node 15, smart agent 1, -3.94, 7.44, 11.08
module node 9, smart agent 5, -6.94, 1.44, 11.08
module node 18, smart agent 4, -12.94, 7.44, 11.40
module node 18, smart agent 2, -12.94, 7.44, 11.88
module node 17, smart agent 4, -9.94, 7.44, 12.66
module node 2, smart agent 1, -0.94, 4.44, 12.90
module node 13, smart agent 5, -9.94, -1.56, 12.90
module node 8, smart agent 2, -12.94, 4.44, 13.08
module node 8, smart agent 2, -12.94, 4.44, 13.30
door 1, smart agent 1, -0.94, 3.00, 13.34
