Object Name, First Visit, Last Visit, Total # of Visits
module node 1, 2.02, 37.26, 5
module node 2, 1.16, 36.42, 5
module node 3, 20.74, 25.96, 3
module node 4, 19.72, 24.94, 3
module node 5, 18.84, 24.06, 3
module node 6, 1.16, 28.10, 4
module node 7, 16.80, 21.98, 3
module node 8, 10.06, 13.30, 4
module node 9, 4.98, 11.08, 5
module node 10, 2.82, 16.28, 5
module node 11, 10.10, 33.76, 4
module node 12, 1.02, 6.82, 4
module node 13, 4.84, 18.00, 5
module node 14, 2.98, 32.04, 6
module node 15, 11.08, 34.62, 4
module node 16, 0.00, 0.00, 1
module node 17, 2.06, 15.56, 5
module node 18, 0.68, 14.42, 5
module node 19, 17.70, 22.92, 3
module node 20, 0.00, 26.96, 4
module node 21, 15.66, 20.88, 3
module node 22, 14.60, 19.76, 3
module node 23, 24.88, 30.10, 3
module node 24, 23.74, 28.98, 3
door 1, 1.62, 36.88, 5
exit 1, 2.50, 37.74, 5
