Category, Minimun, Min Count, Maximum, Max Count, Average
Node Records, room node 44 : 0 agents, 154 nodes, smart agent 13 : 37 agents, 2 nodes, 2.10 agents
Node Visits, smart agent 11 : 0 nodes, 1 agents, door 16 : 20 nodes, 1 agents, 2.73 nodes
Door Records, door 109 : 0 agents, 109 doors, smart agent 13 : 37 agents, 2 doors, 2.71 agents
Door Visits, smart agent 11 : 0 doors, 1 agents, door 16 : 20 doors, 1 agents, 2.73 doors
Exit Records, exit 5 : 0 agents, 5 exits, smart agent 13 : 37 agents, 2 exits, 8.36 agents
Exit Time, 0.00 seconds, 45, 43.36 seconds, 2, 9.57 seconds
