Agent Name, Door Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D (4), door, -0.94-X, 3-Z, 1.62 seconds
SmartAgent3D (2), door, -0.94-X, 3-Z, 23.02 seconds
SmartAgent3D (3), door, -0.94-X, 3-Z, 28.64 seconds
SmartAgent3D, door, -0.94-X, 3-Z, 42.36 seconds
SmartAgent3D (1), door, -0.94-X, 3-Z, 44.58 seconds
