Category, Minimun, Maximum, Average
Door Records, door : 5 agents, door : 5 agents, 5.00 agents
Door Visits, SmartAgent3D : 1 doors, SmartAgent3D : 1 doors, 1.00 doors
Exit Records, exit rotated : 5 agents, exit rotated : 5 agents, 5.00 agents
Exit Time, 2.20 seconds, 45.16 seconds, 28.62 seconds
