Agent Name, Exit Name, Position-X, Position-Z, Exit Time (Seconds)
SmartAgent3D (4), exit rotated, -0.94-X, 0-Z, 2.2 seconds
SmartAgent3D (2), exit rotated, -0.94-X, 0-Z, 23.6 seconds
SmartAgent3D (3), exit rotated, -0.94-X, 0-Z, 29.22 seconds
SmartAgent3D, exit rotated, -0.94-X, 0-Z, 42.94 seconds
SmartAgent3D (1), exit rotated, -0.94-X, 0-Z, 45.16 seconds
