Agent Name, Node Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D (1), node module, -0.94-X, -13.56-Z, 0 seconds
SmartAgent3D (2), node module, -9.94-X, -4.56-Z, 0 seconds
SmartAgent3D (4), node module, -0.94-X, 7.44-Z, 0 seconds
SmartAgent3D, node module, -12.94-X, -13.56-Z, 0.36 seconds
SmartAgent3D (3), node module, -12.94-X, 7.44-Z, 0.68 seconds
SmartAgent3D (2), node module, -6.94-X, -4.56-Z, 1.02 seconds
SmartAgent3D (1), node module, -3.94-X, -13.56-Z, 1.08 seconds
SmartAgent3D (4), node module, -0.94-X, 4.44-Z, 1.16 seconds
SmartAgent3D, node module, -9.94-X, -13.56-Z, 1.44 seconds
SmartAgent3D (4), node module, -0.94-X, 1.44-Z, 1.74 seconds
SmartAgent3D (3), node module, -9.94-X, 7.44-Z, 2.02 seconds
SmartAgent3D (2), node module, -3.94-X, -4.56-Z, 2.06 seconds
SmartAgent3D (1), node module, -6.94-X, -13.56-Z, 2.06 seconds
SmartAgent3D, node module, -6.94-X, -13.56-Z, 2.56 seconds
SmartAgent3D (3), node module, -9.94-X, 4.44-Z, 3.16 seconds
SmartAgent3D (2), node module, -3.94-X, -7.56-Z, 3.18 seconds
SmartAgent3D (1), node module, -9.94-X, -13.56-Z, 3.26 seconds
SmartAgent3D, node module, -3.94-X, -13.56-Z, 3.46 seconds
SmartAgent3D (3), node module, -9.94-X, 1.44-Z, 4.04 seconds
SmartAgent3D (1), node module, -12.94-X, -13.56-Z, 4.24 seconds
SmartAgent3D (2), node module, -0.94-X, -7.56-Z, 4.28 seconds
SmartAgent3D, node module, -0.94-X, -13.56-Z, 4.44 seconds
SmartAgent3D, node module, -0.94-X, -13.56-Z, 4.58 seconds
SmartAgent3D (3), node module, -6.94-X, 1.44-Z, 5.18 seconds
SmartAgent3D (1), node module, -12.94-X, -10.56-Z, 5.38 seconds
SmartAgent3D (2), node module, -0.94-X, -10.56-Z, 5.46 seconds
SmartAgent3D, node module, -0.94-X, -10.56-Z, 5.66 seconds
SmartAgent3D (3), node module, -3.94-X, 1.44-Z, 6.04 seconds
SmartAgent3D (3), node module, -3.94-X, 1.44-Z, 6.06 seconds
