Object Name, Agent Name, Position-X, Position-Z, Time (Seconds)
module node 3, smart agent 1, -2.12, -2.12, 0.86
door 2, smart agent 1, -3.14, -3.14, 1.32
door 2, smart agent 1, -3.14, -3.14, 1.66
door 2, smart agent 1, -3.14, -3.14, 2.24
module node 2, smart agent 1, 2.12, -2.12, 4.32
door 1, smart agent 1, 3.14, -3.14, 4.66
door 1, smart agent 1, 3.14, -3.14, 5.08
door 1, smart agent 1, 3.14, -3.14, 5.66
door 1, smart agent 1, 3.14, -3.14, 6.06
door 1, smart agent 1, 3.14, -3.14, 6.64
module node 2, smart agent 1, 2.12, -2.12, 7.30
module node 5, smart agent 1, 2.12, 2.12, 8.58
door 4, smart agent 1, 3.14, 3.14, 8.98
door 4, smart agent 1, 3.14, 3.14, 9.28
door 4, smart agent 1, 3.14, 3.14, 9.86
door 4, smart agent 1, 3.14, 3.14, 10.38
module node 5, smart agent 1, 2.12, 2.12, 10.90
module node 4, smart agent 1, -2.12, 2.12, 12.32
door 3, smart agent 1, -3.14, 3.14, 12.68
door 3, smart agent 1, -3.14, 3.14, 13.12
door 3, smart agent 1, -3.14, 3.14, 13.72
door 3, smart agent 1, -3.14, 3.14, 13.94
door 3, smart agent 1, -3.14, 3.14, 14.50
door 3, smart agent 1, -3.14, 3.14, 15.14
door 3, smart agent 1, -3.14, 3.14, 15.50
door 3, smart agent 1, -3.14, 3.14, 16.10
door 3, smart agent 1, -3.14, 3.14, 16.76
module node 4, smart agent 1, -2.12, 2.12, 17.46
module node 3, smart agent 1, -2.12, -2.12, 18.84
door 2, smart agent 1, -3.14, -3.14, 19.18
door 2, smart agent 1, -3.14, -3.14, 19.40
door 2, smart agent 1, -3.14, -3.14, 19.62
door 2, smart agent 1, -3.14, -3.14, 19.84
door 2, smart agent 1, -3.14, -3.14, 20.06
door 2, smart agent 1, -3.14, -3.14, 20.28
door 2, smart agent 1, -3.14, -3.14, 20.50
module node 3, smart agent 1, -2.12, -2.12, 21.20
module node 5, smart agent 1, 2.12, 2.12, 22.92
door 4, smart agent 1, 3.14, 3.14, 23.38
door 4, smart agent 1, 3.14, 3.14, 23.60
door 4, smart agent 1, 3.14, 3.14, 23.82
door 4, smart agent 1, 3.14, 3.14, 24.04
door 4, smart agent 1, 3.14, 3.14, 24.26
door 4, smart agent 1, 3.14, 3.14, 24.48
door 4, smart agent 1, 3.14, 3.14, 24.70
door 4, smart agent 1, 3.14, 3.14, 24.92
module node 5, smart agent 1, 2.12, 2.12, 25.62
